Data/Hora,Pergunta,Trechos Utilizados,Resposta do Assistente,Avaliação Manual
2026-02-22 20:42:21,Em quais cenários contracheque pode ser desconsiderado no cálculo da capacidade de pagamento?,"368: a. Quando apresentado contracheque para comprovação de renda, o cliente deve ser questionado quanto à existência de mais de um documento (co | 816: ada a análise e para quais deverá abrir demanda. AVALIAÇÃO DE RISCO DE CRÉDITO DA OPERAÇÃO Efetua a avaliação de Risco de Crédito da Operaçã | 626: simulador; Informa e esclarece aos proponentes o resultado apresentado na simulação conforme abaixo: os valores utilizados para cálculo do C | 226: lmente com uma defasagem média de 2 meses. A partir dessas informações o sistema de risco de crédito efetua os cálculos para encontrar a cap",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,Quais evidências mínimas a Caixa exige para comprovar renda de taxista no Grupo I e II?,"303: pateiro Serralheiro Servente de Obras Soldador Taxista Telhador Trabalhador doméstico Trabalhador rural Tratorista Vassoureiro Vendedor (dom | 815: ssários para regularização da situação impeditiva. Arquiva o parecer jurídico no dossiê único do financiamento. Nos casos de análise jurídic | 14: clareza (subitens [MN, 3.6.4.10.3.4.1] e [MN, 3.6.4.10.3.5]). Apensados: Alterações: Apensado I - Principais Erros de Validação que Impedem  | 96: mposto de renda retido são somados, no caso do cliente comprovar mais de uma renda, proveniente de uma mesma fonte pagadora, com a mesma ocu",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:22,Qual regra prevalece quando há conflito entre entrada mínima e perfil de renda da família?,"401: OCIAL – PROGRAMA CARTA DE CRÉDITO FGTS/PMCMV Para direito a 100% de desconto, é necessária a participação de pelos menos dois proponentes no | 43: de risco de crédito. Atentar ao correto preenchimento das informações de renda dos clientes: Renda Formal e Renda Informal; tipo de document | 220: ois é utilizado para declarar rendimentos obtidos de forma esporádica por força de decisão judicial relativo a diferenças salariais, indeniz | 407: esentar | apresentar | apresentar Fica dispensada a apresentação de comprovante de residência quando for apresentada a Declaração de parente",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,"Como a régua de crédito trata restrição no CPF para aprovação, exigência de ajuste ou reprovação?","55: nstam no [MN, MO43082]. impedimentos para aprovação O processo de análise de risco envolve a verificação da existência de restrições para to | 68: strato. A antecipação da regularização de ocorrência é realizada pela agência de vinculação da proposta quando, por questões de relevante im | 69: cadastral, uma nova avaliação poderá ser solicitada e, caso a antiga restrição tenha sido a única pendência (e não exista nova restrição), o | 57: mpeditivos à contratação para as seguintes operações de crédito: Cheque Especial – clientes com conta salário na CAIXA; Crédito Consignado. ",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,Quais requisitos de validade e integridade documental se aplicam ao certidão de casamento no processo habitacional?,"237: as avaliações habitacionais é de 180 dias. O prazo de validade das avaliações habitacionais é contado a partir da data da primeira avaliação | 402: ocorrerá com a apresentação dos seguintes documentos: Se casado: certidão de casamento atualizada e; documento pessoal de identificação do(a | 238: terão como prazo de validade o período remanescente contado a partir da data da primeira avaliação habitacional realizada no início do proce | 401: OCIAL – PROGRAMA CARTA DE CRÉDITO FGTS/PMCMV Para direito a 100% de desconto, é necessária a participação de pelos menos dois proponentes no",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,Como tratar divergência entre comissão e extrato bancário na esteira de conformidade?,"106: s de renda fixa e/ou poupança, na CAIXA e em outras instituições, em que conste o cliente como primeiro titular. Não há exigência de prazo m | 523: ida no período entre a data de assinatura do contrato e a data de vencimento, o valor de juros pelo período de dias postecipados calculado c | 218: tuir como rendimento mensal; “ganhos líquidos em renda variável (bolsas de valores, de mercadorias, de futuros e assemelhados e fundos de in | 219: lo fato de não se tratar de um rendimento periódico, mas um bônus ofertado pelo empregador; “Rendimentos Recebidos acumuladamente” e “Juros ",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:22,Como a política de risco diferencia movimentação em conta entre Grupo I e Grupo II?,"299: ntarista e Locutor de rádio e televisão Compositor Confeiteiro Consertador de Aparelho Eletrônico/Eletrodoméstico Costureiro Cozinheiro Croc | 297: , Encanador, Pedreiro, Barbeiro, Doceira, Salgadeira, Lavador de Carro. ATIVIDADES GRUPO I – (De A a C) Açougueiro Adestrador de Animais Afi | 301: e Ourives Jornaleiro Ladrilheiro Lavador de veículos Lavador e passador de roupas Limpador de fachadas Manicure, Pedicure Manobrista Maquiad | 254: ubsequentes. anexo i – informações que podem ser alteradas para novas avaliações A alteração, inclusão e/ou exclusão das informações que seg",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,"Meu imóvel passou um pouco do teto da cidade, ainda rola PMCMV?","643: sada pela CAIXA. Se PMCMV, além dos itens acima, informa as condições gerais de enquadramento e funcionamento dos Programas, e ainda: o dire | 629: por um deles; independente da data de assinatura do contrato, a data do vencimento dos encargos mensais deve ser escolhida entre os dias 01  | 454: oprietário do imóvel, o cônjuge não proprietário não assina como vendedor. | SBPE/Recursos Livres e Pró-Cotista: Se ambos constam como compr | 459: mente um dos cônjuges constar como comprador, o outro cônjuge assina como anuente. PMCMV e CCFGTS: Todos assinam Para PMCMV, uma vez que par",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,Qual a idade limite pra não barrar no financiamento da Caixa?,"428: fas da CAIXA, disponível no endereço https://www.caixa.gov.br/Paginas/home-caixa.aspx, menu superior à esquerda “Institucional”, “Downloads” | 530: ospecção do financiamento tenha cadastrado o e-mail pessoal do proponente para migração para o Sistema de Cadastro de Clientes e a proposta  | 48: ão pode contar com subsídio concedido pelo conselho curador do FGTS, o qual reduzirá o valor a ser financiado e, consequentemente, reduzirá  | 193: DADE RURAL NA DIRPF | CAMPOS A SEREM ANALISADOS | Renda bruta | Renda líquida SITUAÇÃO 1 | Valor do campo ""Resultado Tributável"" positivo e ",[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
2026-02-22 20:42:23,Como a Caixa trata inconsistências cadastrais entre comprovante de residência e demais registros do cliente?,59: de crédito do cliente com a CAIXA; operação pretendida; proposta habitacional. registros cadastrais cadin Os registros cadastrais CADIN – CA | 58: severidade de forma automática levando em consideração as seguintes informações: valor(es) e quantidade(s) da(s) restrição(ões) apresentada( | 71: ocumentos de comprovação de renda são anexados à Ficha Cadastro do cliente. É importante verificar a compatibilidade entre a renda apresenta | 60: os cadastrais CADIN – FISCAIS E PARAFISCAIS são restritivos somente para operações habitacionais lastreadas com recursos públicos. Os demais,[Falha ao gerar resposta: OPENAI_API_KEY não encontrada. Configure a chave no ambiente ou no arquivo .env.],
